Name of the painting,Style,Year,Period,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
Fruit dish_1,Synthetic Cubism,1917,Cubist Period,1.8086,7.7219,145.1134,547.5807
Fruit in a Vase,Cubism,1909,Cubist Period,1.7162,7.5819,151.2617,438.7938
Fruit vase and bunch of grapes,Synthetic Cubism,1914,Cubist Period,1.6621,7.3221,176.0208,419.4165
Girl with mandolin (Fanny Tellier),Analytical Cubism,1910,Cubist Period,1.8150,7.5440,255.1157,520.5216
Glass and bottle of  Bass,Synthetic Cubism,1914,Cubist Period,1.8575,7.6259,220.1001,674.5093
Glass and bottle of straw rum,Synthetic Cubism,1914,Cubist Period,1.8230,7.8047,205.5021,455.1375
Glass and Bottle of Suze,Synthetic Cubism,1912,Cubist Period,1.8443,7.2147,336.7658,535.7920
Glass and newspaper,Synthetic Cubism,1914,Cubist Period,1.6415,7.6530,178.8582,269.0425
Glass on a Table,Synthetic Cubism,1914,Cubist Period,1.9672,7.1250,142.0721,710.9416
Glass,Cubism,1914,Cubist Period,1.8210,6.0841,18.8857,272.1350
Guitar (I love Eva),Cubism,1912,Cubist Period,1.8120,7.5808,179.4062,481.6212
Guitar and bottle,Synthetic Cubism,1913,Cubist Period,1.7423,7.6700,196.0320,493.7449
Guitar and jug on a table,Synthetic Cubism,1918,Cubist Period,1.6662,7.2221,465.8081,314.3448
Guitar and sheet of music,Synthetic Cubism,1912,Cubist Period,1.8115,7.4346,15.8709,265.0895
Guitar and Violin,Analytical Cubism,1912,Cubist Period,1.7869,7.6672,130.0504,281.5236
Guitar player,Analytical Cubism,1910,Cubist Period,1.7904,7.5602,238.8793,481.5936
"Guitar, bottle, fruit dish and glass on the table",Cubism,1919,Cubist Period,1.6091,7.4159,183.9938,331.0385
"Guitar, Glass and Bottle of Vieux Marc",Synthetic Cubism,1912,Cubist Period,1.8608,7.5559,89.2021,485.0815
"Guitar, Sheet music and Wine glass",Synthetic Cubism,1912,Cubist Period,1.8207,7.0969,250.7900,543.4878
Guitar,Synthetic Cubism,1912,Cubist Period,1.7964,6.3175,35.5929,633.7505
Guitar_4,Synthetic Cubism,1926,Cubist Period,1.8631,7.1369,114.9996,711.7322
Gutted horse,Expressionism,1917,Cubist Period,1.7955,6.1333,137.1253,574.8135
Harlequin and woman with necklace,Cubism,1917,Cubist Period,1.6510,7.1373,91.1739,449.3787
Harlequin leaning_1,Analytical Cubism,1909,Cubist Period,1.7759,7.4428,92.6522,255.2144
Harlequin with guitar,Impressionism,1916,Cubist Period,1.8710,7.7041,79.6097,263.9661
Harlequin with guitar_1,Expressionism,1918,Cubist Period,1.8104,7.5412,425.6596,437.8031
Harlequin,Synthetic Cubism,1915,Cubist Period,1.5589,6.7735,20.1840,313.4056
Harlequinesque personage,Analytical Cubism,1913,Cubist Period,1.8376,7.2462,200.7102,591.4813
Harlequin_1,Cubism,1918,Cubist Period,1.8091,7.8026,218.6617,514.2721
Head of a man with hat,Synthetic Cubism,1912,Cubist Period,1.8875,6.3832,22.3829,598.1328
Head of a man_4,Synthetic Cubism,1913,Cubist Period,1.8663,6.7182,42.4212,606.1292
Head of a man_5,Synthetic Cubism,1913,Cubist Period,1.8393,7.5371,142.0518,535.2395
Head of a Woman (Fernande),Cubism,1909,Cubist Period,1.8043,7.4163,86.0055,325.7230
Head_1,Synthetic Cubism,1913,Cubist Period,1.8544,6.9972,83.3237,369.3105
House in the garden,Cubism,1908,Cubist Period,1.7312,7.4143,400.7227,430.7877
Houses on the hill,Analytical Cubism,1909,Cubist Period,1.8924,7.1305,101.2608,532.8427
Landscape with Posters,Analytical Cubism,1912,Cubist Period,1.7956,7.6624,88.0313,276.5033
Lovers_1,Cubism,1919,Cubist Period,1.6060,7.4667,124.5384,346.4356
Man with a guitar,Analytical Cubism,1911,Cubist Period,1.7309,7.8755,153.8302,427.3337
Man with guitar,Analytical Cubism,1912,Cubist Period,1.8827,7.7452,224.9736,489.6115
Man with guitar_1,Synthetic Cubism,1913,Cubist Period,1.8106,7.5715,137.2711,541.9698
Man with pipe,Synthetic Cubism,1914,Cubist Period,1.7076,7.5542,89.3310,246.8610
Mandolin,Synthetic Cubism,1914,Cubist Period,1.8361,7.3186,186.6410,587.2961
Musical instruments,Cubism,1912,Cubist Period,1.8178,7.0297,47.0363,330.8497
My Pretty One (Woman with Guitar),Analytical Cubism,1911,Cubist Period,1.7259,7.6188,303.6646,427.5119
Nude figure,Analytical Cubism,1910,Cubist Period,1.5918,7.3976,225.8843,336.4351
Olga in a Mantilla,Realism,1917,Cubist Period,1.8623,7.0087,79.4113,826.0743
