Period,Name of the painting,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
Early Years,Head of a Man in El Greco style,1.6165,6.5702,337.4541,455.7258
Early Years,Head of woman,1.8111,7.6502,115.5937,534.6982
Early Years,House in the field,1.7474,7.2147,368.4481,421.2331
Early Years,Jeanne (Reclining nude),1.8445,7.6711,198.4788,604.7738
Early Years,La chata,1.7290,7.7544,362.8029,702.3744
Early Years,Lola,1.7175,7.4598,644.5133,704.4617
Early Years,Longchamp,1.8579,7.5045,176.5038,477.8674
Early Years,Lovers of the street,1.5502,7.2380,241.0721,302.6777
Early Years,Madrilenian (Head of young woman),1.7398,7.4996,164.7572,469.3553
Early Years,Mother and child behind the bouquet of flowers,1.6302,7.3316,297.4008,360.9323
Early Years,Moulin de la Galette,1.6575,7.0759,363.6301,574.9790
Early Years,Pablo Picasso and Sebastìa Junyer-Vidal arrives to Paris,1.9361,7.6759,1152.8482,1101.1171
Early Years,Pablo Picasso and Sebastìa Junyer-Vidal arrives to Paris_1,1.8729,7.0555,139.2779,963.9428
Early Years,Picador,1.8675,7.2953,96.3216,637.3438
Early Years,Picasso with partner,1.8656,7.5393,147.5213,522.3109
Early Years,Pierreuse with her hand on her shoulder,1.4939,7.1615,246.8849,277.3265
Early Years,Pierrot and Colombina,1.5392,7.0876,249.9631,312.7004
Early Years,Plaster male torso,1.8852,7.2343,81.9943,1066.9921
Early Years,Portrait of aunt Pepa,1.3187,5.6186,105.7186,152.5713
Early Years,Portrait of Bibi la Purée,1.8015,7.7982,182.8531,522.4531
Early Years,Portrait of Casagemas,1.7241,7.1514,1373.1081,513.8386
